Time [s],Value,Parity Error,Framing Error
39.652248999999998,'2' (0x02),,
39.652369000000000,'16' (0x10),,
39.652489083333336,'128' (0x80),,
39.652609083333331,'0' (0x00),,
39.652729166666667,'4' (0x04),,
39.654879833333332,'3' (0x03),,
39.654999916666668,'196' (0xC4),,
39.655119916666663,'0' (0x00),,
39.664853333333333,'15' (0x0F),,
39.664973333333336,'2' (0x02),,
39.665093416666664,$ (0x24),,
39.665213416666667,'224' (0xE0),,
39.665333500000003,'231' (0xE7),,
39.665453499999998,'4' (0x04),,
39.665573583333334,'8' (0x08),,
39.665693583333336,j (0x6A),,
39.665813666666665,'0' (0x00),,
39.665933666666668,'2' (0x02),,
39.666053750000003,'16' (0x10),,
39.666173749999999,'128' (0x80),,
39.666293833333334,'0' (0x00),,
39.666413833333330,'4' (0x04),,
39.666533916666666,' ' (0x20),,
39.666653916666668,'0' (0x00),,
39.666773999999997,'1' (0x01),,
39.666893999999999,'8' (0x08),,
39.667014083333335,@ (0x40),,
39.667134083333330,'0' (0x00),,
39.667254166666666,'2' (0x02),,
39.667374166666669,'16' (0x10),,
39.667494249999997,'128' (0x80),,
39.667614250000000,'0' (0x00),,
39.667734333333335,'20' (0x14),,
39.679868499999998,'15' (0x0F),,
39.679988500000000,'2' (0x02),,
39.680108583333336,$ (0x24),,
39.680228583333331,'224' (0xE0),,
39.680348666666667,'231' (0xE7),,
39.680468666666670,'4' (0x04),,
39.680588749999998,'8' (0x08),,
39.680708750000001,j (0x6A),,
39.680828833333337,'0' (0x00),,
39.680948833333332,'2' (0x02),,
39.681068916666668,'16' (0x10),,
39.681188916666663,'128' (0x80),,
39.681308999999999,'0' (0x00),,
39.681429000000001,'4' (0x04),,
39.681549083333330,' ' (0x20),,
39.681669083333333,'0' (0x00),,
39.681789166666668,'1' (0x01),,
39.681909166666664,'8' (0x08),,
39.682029249999999,@ (0x40),,
39.682149250000002,'0' (0x00),,
39.682269333333331,'2' (0x02),,
39.682389333333333,'16' (0x10),,
39.682509416666669,'128' (0x80),,
39.682629416666664,'0' (0x00),,
39.682749416666667,$ (0x24),,
39.694873666666666,'15' (0x0F),,
39.694993666666669,'2' (0x02),,
39.695113749999997,$ (0x24),,
39.695233750000000,'224' (0xE0),,
39.695353833333336,'231' (0xE7),,
39.695473833333331,'4' (0x04),,
39.695593916666667,'8' (0x08),,
39.695713916666669,j (0x6A),,
39.695833916666665,'0' (0x00),,
39.695954000000000,'2' (0x02),,
39.696074000000003,'16' (0x10),,
39.696194083333332,'128' (0x80),,
39.696314083333334,'0' (0x00),,
39.696434166666670,'4' (0x04),,
39.696554166666665,' ' (0x20),,
39.696674250000001,'0' (0x00),,
39.696794250000004,'1' (0x01),,
39.696914333333332,'8' (0x08),,
39.697034333333335,@ (0x40),,
39.697154416666663,'0' (0x00),,
39.697274416666666,'2' (0x02),,
39.697394500000001,'16' (0x10),,
39.697514499999997,'128' (0x80),,
39.697634583333333,'0' (0x00),,
39.697754583333335,4 (0x34),,
39.709878750000001,'15' (0x0F),,
39.709998833333330,'2' (0x02),,
39.710118833333333,$ (0x24),,
39.710238916666668,'224' (0xE0),,
39.710358916666664,'231' (0xE7),,
39.710478999999999,'4' (0x04),,
39.710599000000002,'8' (0x08),,
39.710719083333331,j (0x6A),,
39.710839083333333,'0' (0x00),,
39.710959166666669,'2' (0x02),,
39.711079166666664,'16' (0x10),,
39.711199250000000,'128' (0x80),,
39.711319250000003,'0' (0x00),,
39.711439333333331,'4' (0x04),,
39.711559333333334,' ' (0x20),,
39.711679416666669,'0' (0x00),,
39.711799416666665,'1' (0x01),,
39.711919500000000,'8' (0x08),,
39.712039500000003,@ (0x40),,
39.712159583333332,'0' (0x00),,
39.712279583333334,'2' (0x02),,
39.712399666666670,'16' (0x10),,
39.712519666666665,'128' (0x80),,
39.712639750000001,'0' (0x00),,
39.712759749999996,'4' (0x04),,
39.714910500000002,'3' (0x03),,
39.715030583333331,'192' (0xC0),,
39.715150583333333,+ (0x2B),,
39.724873916666667,'15' (0x0F),,
39.724994000000002,'2' (0x02),,
39.725113999999998,$ (0x24),,
39.725234083333334,'224' (0xE0),,
39.725354083333336,'231' (0xE7),,
39.725474166666665,'4' (0x04),,
39.725594166666667,'8' (0x08),,
39.725714250000003,j (0x6A),,
